text,label
a few daring antiheroes who have nothing to lose prove themselves up to the challenge of saving the world,1
if anything it made me truly appreciate the amazing talent that is julie andrews and how critical it is to have a talent like this as the lynchpin for a project as important as this one,0
i found something questionable in its forced and unearned emotional moments and the frankly rather insufferable performance from juliette binoche in the lead role,0
cruising into cinemas with worse timing than a taiwanese rolex this chick flick about one woman racking up five figures of credit card debt seems less like a comedy than an epic minute fingerwagging session,0
a delicious feast of filmmaking,1
freeman and nicholson are gracefully charismatic more enthralling than either of them has ever been onscreen,1
in its flimsy exploration of grief the parental power struggle defies logic from the getgo which might not matter if moviegoers could empathize with either side,0
made with an unrelenting enthusiasm that steps beyond its occasionally patchy comedy they came together is smart subversive and really quite funny,1
the film has more holes than bushs war plan and employs less fluent english,0
keeps the predator tradition alive adrien brody found his true calling as an actor hes got that face you cant trust but want to,1
its just an honest basic story set forth with brevity skill care and intelligence,1
its got heart and its got style whats missing is laughs,1
do we really need another climactic hospital sequence with a shrieking mom giving birth and what would carrie bradshaw co have done with this same story,0
it was too much to hope perry would send the old broad off in style,0
the premise is clever brolin is aces and theres some lovely pathos at the end its a shame its not funnier,0
lachapelle wisely avoids too much mtvstyle quickediting and camera trickery letting the kids dazzle on the strength of their talent,1
an overlong mishmash of comingofage comedy social satire and spiritual thinkpiece whose ultimate stance on religion feels awfully fuzzy,0
this is exactly the kind of film that james cameron would make if they ever let him through the disney front gates,1
robert rodriguezs muddled adventure movie is based on characters and themes created by his son racer max when he was,0
owing more to jaws and orca than anaconda still suffers from the predictable formula issues that comes with its creature feature roots,0
what makes rocketman so uneven is ironically enough a lack of understanding of what makes elton john so iconic,0
swings wildly between somber and stupid,0
lets look at the bright side america is still the land of opportunity if will ferrell and chris kattan can make a movie,0
utterly unquestionably gorgeous to look at but at heart a fairly bogstandard futuristic action movie gits is all shell with barely a ghost of anything inside,0
the modesto merchandiser did a generations imagining for them and left these kids with a mortgage sized bill for services rendered,0
when tommy lee jonestells how funny his roommate al gore was is asked for specifics and gives them totally deadpan i was laughing uncontrollably,1
a sharpedged drama about a lesbian housewife turned highend hooker concussion marks an accomplished feature debut from commercial producerdirector stacie passon,1
bullock is just plain funny,1
director eli roths knock knock a remake of the exploitation picture death game sometimes plays more like a comedy than like the grungy thriller that inspired it but thats often all to the good,1
almost a political drama of the caliber of gore vidals the best man but its not quite however it is the movie to recommend to adults looking for something thats topical and intelligent and that will keep them guessing,1
as the story becomes more unsettling its fun to watch how the filmmakers weave their characters into this mindbending world,1
no matter the inspired cinematography or considered authentic performances these stories carry a weight of inevitability as they suck every particle of hope out of the air,0
at times the action is so relentless it risks becoming monotonous,0
clearer heads will find it absurdly pointless,0
pike plays the harddrinking hardsmoking hardliving colvin to the hilt its painful to watch what she goes through in this role,1
there are several problems with the romantic comedy you me and dupree not least that there is no filmmaking to speak of,0
a good film thats at its best when its not talking so much,1
there are several reasons why the mask of zorro was so successful beginning with the cast,1
an erratic yet entertaining sophomore effort from polley,1
director julian jarrold and screenwriters geoff deane and tim firth trade in hackneyed dualities,0
a smallscale indulgent but worthwhile movie from writerdirector massy tadjedin about infidelity jealousy and the quarterlife crisis,1
marshalls methods overwhelm the material and what emerges is a movie utterly without personality a unique chapter in american history becomes a movie as ordinary as they come,0
vulgar trite comedy filled with drug use and sex,0
enjoyable and effective teen werewolf movie with some refreshingly new ideas and lashings of gore,1
a powerful film of lasting emotional resonance,1
its hard to argue with the irresistible results however formulaic and even when the material is thin pugh is there to literally and figuratively do the heavy lifting,1
as dry as a high school history book solemn as a funeral service humorless as a politburo meeting bloated as a waterlogged corpse and unbalanced as a bout between a debutante and a sumo wrestler,0
the wolf of wall street is a film that speaks to our times and it is saying some very important things if we care to listen,1
downton abbey the movie feels like a nice warm chamomile bubble bath with a cup of fresh tea,1
disappointment that it isnt what a de niro movie used to be powerful challenging and edgy now his movies are weak and clichd with a mushy centre,0
an exploration of the results such a situation could bring those results are admittedly predictable and formulaic,0
its fondas show riffing on her hanoi jane past and aided by firsttime screenwriters christina mengert and joseph muszynskis ear for how both smart people and newagers talk,1
return to oz is the kind of movie that encourages people to rent home videotapes of the wizard of oz and the wiz,0
for his directorial debut bateman returns to his badboy beginnings and the results are predictably amusing,1
good takeoff decent sometimes even excellent effects bad landing,0
its a rare kind of american movie it gets us arguing about all the characters and enjoying the debates every step of the way because were so intimately involved with their dreams and passions,1
remember the titans works just fine,1
nolan gledateljima prua zabavu za osjetila i intelekt na nain koji se ini iznad mogunosti najveeg broja njegovih kolega,1
ruscios script is grim and darkly funny but the big attraction is wrights righton performance shes an actress waiting to be discovered,1
donahue and spiro shouldve spent more time exploring the human moments and much less time browbeating us with stuff we already know,0
unwilling to do anything in moderation the four people it took to write one of the worst screenplays of the year almost seem to be playing a game where they have to top each other with each stupid twist,0
thwaites and rush have zero chemistry and their lifeless scenes together undermine the entire film,0
little more than a glorified afterschool special and the fact that its strongly cast only adds to bewilderment about how it went so wrong,0
from scene to scene the movie has an enormously vital swing to it,1
going in guns blazing and attempting to set pulses racing might not feel wholly appropriate given the facts at the heart of the film but it does suit lams usual style,1
moviegoers of a certain age are eager to see themselves reflected on screen no matter how banal that reflection looks,0
a bland revenge thriller with the cages blandest star turn since he sleepwalked through bangkok dangerous,0
this is an absolute chore to sit through,0
when several of the years movies have disappeared from my memory altogether digging for fire is one ill still want to think about,1
the film does affirm the basic message of the best kind of fairy tale as with water so with other things there is more to this world than what we see on the surface,1
a tal irmandade yaya de uma bobagem extremada e o roteiro tem buracos incrveis deixando de lado vrios pontos sobre os irmos de burstyn e bullock que so mencionados mas nunca vistos,0
ive observed this seth rogen comedy and i can report that its not very good,0
tim burtons sleepy hollow may be one of the best slasher movies ever made of course thats not saying much,1
a compelling expos of professional propagandists though the movie itself is not agendafree,1
feathery fun you know for kids and penguins,1
constantine does generate some midlevel amusement and fx interest in the epic battle its based on but has very little to show for it once the final credits role,1
light on bite but heavy on laughs,1
overwritten overplotted overacted risibly incomprehensible,0
will make you want to punch the nearest teenage boy in the face,0
the horror anthology southbound is a hitormiss affair a bunch of halfformed ideas that never coalesce into a satisfying shocker,0
though diehard fans probably will take issue serenity is mostly scifi silliness attempting to be something more substantive,0
this is the kind of thing youd expect on a womens cable network movieoftheweek,0
i was afraid this would be a case of robinson quickly succumbing to ocean madness and going killhappy in the submarines unfriendly confines,1
has the ring of classic disney seamlessly combined with a modernday sensibility,1
a film youll want to see twice to catch all of the punchlines wild hogs is a great ride down the comedy highway,1
ms ade doesnt pretend to have an answer to our most profound questions about love in her plaintive scenes from a romance but the wonderful last line look at me suggests one place to start,1
as this elegiac movie reminds us even a shattered life matters leaving behind an indelible intricate imprint,1
while the movie loads on too much sap in the final third it is still a funny and moving firsttime effort,1
marriage story is a fearsome cautionary tale long and painfully detailed a divorce horror story to put alongside kramer vs kramer,1
the medallion is a golden child ripoffbut it is marginally better than the tuxedo due to less reliance on special effects a much more charismatic leading lady and an amusing sidekick in evans once director gordon chan finds his timing,0
the humor is so predictable forced and awkward that the actors sometimes seem like helpless bystanders,0
a thinking persons baseball movie,1
these types of movies are going to keep coming out and theres just nothing we can do do about it,0
brad pitt might be my favorite brad pitt a compelling emotional and memorable story with stunning visuals,1
with all the talent time and effort that has gone into making a movie like this i hate reducing it to one word but here goes revolutionary road is awful,0
it doesnt matter how disarming francos singlehanded performance is there is simply not enough dramatic meat on the bones of ralstons true story to distract us from where it is heading,0
this is gripping edgeofyourseat stuff offering the chance to experience a defining historical moment from the front lines,1
shyamalan does something that in other hands would be an annoying narcissistic gesture a selfcitation that radically transforms the identity of split full review in spanish,1
a copbuddy movie so easygoing its hardly there at all,0
trobischs film is specific in its vision and universal in its themes and it never stoops to proselytizing to make its points,1
gillan invests her character with energy but the film struggles to generate enough shocks and twists to sustain its length,0
beautiful to look at zhang yimous most recent film from china has a cliched plot and a little too much overripe melodrama,1
might have been a simple takedown of the millennial generation you know these damn kids today but the movie is more complex than that,1
i expect many of the films worst reviews to come from critics disappointed that robin hood isnt the laughinglybad disaster so many were expecting,1
has a certain audacity thats the product of whedon sure but it also betrays a sense of i told you so,1
undemanding psychological western,1
ultimately i feel pretty pulls its feet out of that fire by prioritizing renee loving herself over having enough confidence to make the world love her and thats the films biggest accomplishment well that and michelle williams saying kohls,1
danger close stays true to australian sacrifice but walks a perilous line between honour and amnesia,0
with moore and brosnan as the starcrossed pair the sparks that fly are brighter than in your typical romantic comedy,1
as the drama ramps up were stuck firmly in dreary tv movie territory and moretz starts to struggle with the challenges of the role,0
there is almost no character development the dialogue is stilted and the story itself is rather absurd,0
year one is quite a mixed bag of nutswhich could repulse some viewers but if you can supress your gag reflexit ascends to hyperventilating levels of hilarity,1
matt dillons reserved internalised performance is a standout embellished by his sometimes confronting sometimes intimate narration with a melancholy soundtrack filling up the cracks where hope threatens to shine through,1
anyone who makes horror films should be inspired by movies like it follows,1
though packaged for relative ease of consumption frank does manage to investigate the frontier between indie quirk and mental illness the volatile combination of tortured soul and personality cult,1
since no terrorist group or nation state has ever claimed credit for stuxnet gibney can only hypothesize about its origins but he makes an alarmingly lucid if circumstantial case for the culpability of the united states and israel,1
the love guru contains a few clever touches but has trouble hanging together as a coherent comedy let alone a coherent film,0
in their ninth feature together scorsese and de niros collaborative gears synch as smoothly as ever,1
the film isnt very likable,0
a wordless delightunfailingly charming and comically inventive,1
iousa is a clear cogent and compelling primer on contemporary american economics and the notsosmall matter of how we ended up at the edge of a precipice,1
de niro and crystal are capable of being a great comedic team but just like any other actors theyre only as good as the script and this one is decidedly underwelming,0
sleeping giant draws the viewer in despite the bland subject matter making every character intriguing and maintaining suspense and the feeling of impeding trouble perfectly,1
by keeping things simple and understated director chris weitz and screenwriter eric eason have crafted a little gem where humanity is observed with compassion not condescension,1
its impossible to shake the sense that what felt thrillingly cohesively alive in the directors earlier movies plays here with more laurelresting creakiness than goforbroke verve,0
the movie itself seems equally divided between the sensibilities of hyperverbal writer diablo cody and musiccentric director jonathan demme and ends up falling into a muddy gap between the two,0
the problem with double take is that its baroque plotting undercuts this comic exploration of identity,0
fast furious is much like the other fast furious films which is to say it does its thing pretty well,1
a lean economically told indie that should please fans of the source novel,1
a few fun daided jumpscares aside texas chainsaw d is a generic and laughable attempt to follow the original,0
this nightmare just spirals around epic though it may be,0
there is no sentimentality in andy goddards direction and in fact thomass utter disregard for how his actions impact on brinnin and his wife back home in wales makes him tough to like,0
about as cheeky as a quarantined outhouse painfully contrived and methodically doltish butt boy strives for its validation of absurd fanny fun but this comedic crapper definitely needs its behind spanked,0
its classic giallo a mysterious killer stalking beautiful women interspersed with scenes of sex sadism voyeurism and utterly gratuitous nudity,1
the guard is violent profane and funny,1
what could and should have been great is reduced to the tragically dull a wasted opportunity of immense proportions,0
quite heartwarming,1
high art this may not be and certainly no paradise lost but fine filmic entertainment it most definitely is,1
unlike most films of its ilk prom is genuinely human and relatable veering with ease between comedy and drama,1
the dialogue written by novelist and firsttime screenwriter andrea seigel sparks with life,1
the progress of the story is predictable as it is in all movies about underdogs they are bad and will get better,1
nobodys heart or soul is invested too heavily in it,0
akiva goldsmans featuredirecting debut is a cloying sledgehammersubtle adaptation of mark helprins vastly richer novel,0
it has some irritating flaws during its overly long two hours,0
reynolds doesnt convey any of the lightning bolt insouciance that made him arguably the greatest movie star of the s and s really but rather just stands there,0
koepp simply never gets anywhere near the storys underlying themes,0
even when the laughs are less frequent they continue through to the end with plenty of quotable lines,1
whenever we see them they are either dancing or talking about dancing we dont see their everyday lives and hence dont get a feel for who they are,0
while painting one of the better portraits of quaker life the films sober civil warfocused intentions are constantly undermined by slapstick situations and erstwhile tomfoolery,0
draper uses her understanding of her sons as people and actors to shape their characters and performances in return the trust they have in her allows them to be completely open,1
wahlberg and russell are solid in their roles well complemented by the versatile malkovich and fans will enjoy seeing leland in action after his previous work in berg films,1
its a charming wistful movie and i trust tan will not have to wait another years to direct her next film,1
while the documentary footage is powerful its often undermined by the fact that you know there is deep contrivance at work,0
silly as its premise may be the film itself is both hilarious and heartwarming,1
an outrageous horror crowdpleaser rocking a delicious villainous turn for octavia spencer,1
less engaging and less scary than its predecessor with a daunting runtime that nevertheless remains a mustsee for any horror fan,1
nodding to the movies bleak mood burton bleakens himself robbed of the pleasures of the grand showoffy way he could use his voice the mischievous twinkle of his eye you feel cheated,0
the first must see movie of,1
gibson hews to a style that is visually elaborate without ever being visually complicated scraping away the traces of any irony or dimension from every shot every scene,0
youd think a film that dabbles in deviant sexual practices sexual submissiveness and selfmutilation would be interesting,0
a sobering account not only medieval provincial life but the extremely limited role of womens agency,1
how is it possible to assemble more than two dozen stars in a movie and find nothing interesting for any of them to do,0
as american as a doughnut in sentiment the film is full of realistic scenes of vicious corrupt and wild jockeying in the area of cheap politics,1
when the directors showboating isnt getting in the way belbers script lands some salient points about situational ethics and the pliable nature of guilt,1
despite being an enjoyable ride with fine acting all around the story is too overstuffed to cohere and its shifting time line gets tiresome,0
director hopkins relies far too heavily on sudden loud soundtrack noises to inject some scares into what is essentially a pretty dull affair and the plague effects are sub par even by the standards of cecil b demille,0
this sweet lovingly passionate story is nonetheless a charmer,1
somewhat painful to watch in all its human suffering and ultimately redemption,0
flirts with the best films about faith for its first hour then screenwriter anthony mccartens anodyne awardschasing approach kicks in and reduces what couldve felt like a wave crashing on catholicisms beach to a tide thats neap and cheap,0
ultimately its an inoffensive tale that comes with a simple moral message,0
wise and cleareyed this excellent teen drama is far better constructed and more nuanced than the usual comingout story it skips simplistic labels in favor of a focus on the actual state of being human,1
not much to remember,0
a little more cinematic flair might have made sparkle live up to its title better,0
a delicate delightful piece of filmmaking that works best as an allegorical comedy even if allegorical comedy requires a tone that spielberg cant always maintain,1
bleak and relentless as well as impeccably made biblical in its name as well as its moral outrage at the powerlessness of the individual in the face of unchecked authority leviathan is dealing with nothing less than the current state of russias soul,1
una lograda actuacin y buena msica no hacen necesariamente una gran pelcula y ray es uno de esos casos,0
a drag in more ways than onejuwanna skip this miserable tootsie knockoff,0
if youre hoping to forget your troubles for minutes scary movie certainly does the job,1
selfindulgence from a hollywood power couple can make pretty much anything they want you should see pretty much anything else,0
getting people in creepy makeup to gurn and shuffle and get shot isnt automatically scary hilarious,0
there is very little here to disabuse the growing belief that what the young steven patrick morrissey most needs is a slap,0
alofts characters exude a certain impregnability and the storys structure only further distances us from them,0
it always makes me apprehensive to see a movie that was not screened for critics in advance devil looked like it could have been an interesting film but it turns out the lack of faith was justified,0
it leaves jude law hanging out to dry he looks like the young michael caine he talks straight to the camera like the young michael caine but this time our hunk has got zilch to say,0
the plot however is both shabbier and less emotionally involving than its predecessor,0
master of disaster roland emmerich lives down to his reputation with what amounts to the biggest snuff film of all time,0
the film remains perfectly watchable for the majority of its appreciatively brief running time,1
bland faithbased comedy supports traditional gender roles,0
like the mixed martial arts it showcases flash point espouses the belief that theres nothing quite as entertaining as uninhibited brutality,0
a powerful emotional kick strong performances and pretty scenery overcome the overlong overstuffed plot,1
as for bledel shes certainly likeable but lacks any real charisma here,0
what makes this swooningly atmospheric movie a true romance is the face of jeanne moreau in closeup at once impassive devious and tragic as she wanders the rainsoaked streets of nighttime paris,1
rogue one is muscular blockbuster filmmaking that also has a heart and an ethical code,1
quickly tumbles down a rabbit hole of annoying psychobabble dubious science and embarrassingly silly animation,0
a badass stylish piece of genre filmmaking but its also a kickass minute story banging around in a minute package,1
focuses on an irresponsible couple who nonetheless gain our sympathy,1
another mildly pleasant mix of malapropisms and pop culture references diaper humor snippets of rock classics a little adventure pleasant for the kids and not too painful for their parents,1
last chance harvey is an absolute gem of a movie and the perfect antidote to all the big budget vehicles that are on release right now magical,1
congratulations hollywood youve completely disemboweled a truly funny man,0
though its not particularly inventive the film has a fine time pitting officedwellers against each other,1
only funny if you enjoy going out and paying for the kind of comedy writing you can stay at home and get free on sitcoms,0
listen come over to my place this weekend well rewatch terminator and well listen to you could be mine by guns n roses we can even discuss edward furlongs career and lets just pretend terminator salvation never happened,0
delivers everything and more that fans of the first installment expect,1
a giltedged nomessing acceptnosubstitutes masterpiece,1
a fascinating movie in its own right more relevant because of todays world situation,1
go into this movie expecting a fun romp thats what youll get its good vs evil with a very dark side and hopefully will set the trend for action comic book films for the year,1
if youre in the mood for some unscripted belly laughs or a catnap fascination should do the trick,0
essentially you dont mess with the zohan isnt all that different in tone and sensibility from sandlers previous films but hes really trying in this one and the effort pays off,1
a frenchbelgian horror film that combines flesh eating with the horrors of college hazing to spin a loopy parable of abstinence and indulgence bingeing and purging,1
delirious in its excess but never less than ferociously intelligent and operatically emotional underground represents one of those rare exhilarating moments when an outsize artistic vision is fueled by an apparently unlimited budget not to be missed,1
villeneuve has crafted a compelling tale which explores humanitys flaws our own fears and impatience in a way that is scarily realistic,1
the uproarious ravioli scene is the movies most famous interlude peck tribute shows often would employ it to demonstrate the actors underrated comic chops but there are plenty of memorable setpieces in this effervescent effort,1
the love on offer in this romcom that marks yet another notch of disappointment on steve carrells career is neither crazy nor stupid just cynical and schmaltzy by turns,0
diabolically amusing without plunging into the mel brooks zone,1
its the perfect film to see if you want a fun movie this halloween that wont give you nightmares,1
oppressively bleak intermittently powerful a loud lunge at themes better quietly pondered its a heavyweight dramatic experience in good ways and bad,1
there is a moment in the tourist when johnny depp turns to angelina jolie and asks why is all this happening its a question moviegoers will be asking themselves as well,0
i sat on the edge of my seat clapping with delight every few minutes,1
adam bhala loughs hot little melodrama rhapsodizes the lives of contemporary graffiti artists,1
the humor gives tape a quirky edge but the film falls flat whenever the dialogue drifts to allow for a theatrical set piece or joke rather than to further investigate the central dilemma,0
